Province,Temple
PrachinBuri,วัดคชสารมุนี
PrachinBuri,วัดหนองแหน
PrachinBuri,วัดบางตาล่า
PrachinBuri,วัดบึง
PrachinBuri,วัดอมาตยาราม
PrachinBuri,วัดบ้านโนน
PrachinBuri,วัดคู้ลำพัน
PrachinBuri,วัดบุพพาราม
PrachinBuri,วัดป่าหาดนางแก้ว
PrachinBuri,วัดป่าโพธิ์แก้ว
PrachinBuri,วัดหนองโพรง
PrachinBuri,วัดท่าข่อย
PrachinBuri,วัดใหม่พรหมสุวรรณ
PrachinBuri,วัดหัวไผ่
PrachinBuri,วัดรัตนชมภู
PrachinBuri,วัดหนองชะอม
PrachinBuri,วัดพระธาตุพงษ์คุณ
PrachinBuri,วัดอินทร์ไตรย์
PrachinBuri,วัดท่าเรือ
PrachinBuri,วัดบางปลาร้า
PrachinBuri,วัดกระทุ่มแพ้ว
PrachinBuri,วัดศรีสวัสดิ์
PrachinBuri,วัดใหม่กวางทอง
PrachinBuri,วัดสุทธิธรรม 
PrachinBuri,วัดศรีบุญเรือง
PrachinBuri,วัดบ้านด่าน
PrachinBuri,วัดปรือวนาราม
PrachinBuri,วัดทุ่งวิจิตร
PrachinBuri,วัดนครกบินทร์
PrachinBuri,วัดไชยมงคล
PrachinBuri,วัดรัตนโชติการาม
PrachinBuri,วัดผาสุขไพบูลย์
PrachinBuri,วัดนาบุญเฉลิมราษฎร์
PrachinBuri,วัดมาบเหียง
PrachinBuri,วัดสระมะเขือ
PrachinBuri,วัดป่าเกษมสุข
PrachinBuri,วัดโพธิญาณ
PrachinBuri,วัดบางกระเบา
PrachinBuri,วัดทวีชลขันธ์
PrachinBuri,วัดโคกอู่ทอง
PrachinBuri,วัดวังดินสอ
PrachinBuri,วัดบางแตน
PrachinBuri,วัดสระขุด
PrachinBuri,วัดโคกขี้เหล็ก
PrachinBuri,วัดมะกอกสีมาราม
PrachinBuri,วัดแก้วพิจิตร
PrachinBuri,วัดเจริญราษฎร์รังสรรค์
PrachinBuri,วัดป่าทรงธรรม  ตำบลโคกปีบ
PrachinBuri,วัดปรือวายใหญ่
PrachinBuri,วัดระเบาะเกตุ
PrachinBuri,วัดภักดีสุนทราวาส
PrachinBuri,วัดวังกวาง
PrachinBuri,วัดหนองแท่นพระ
PrachinBuri,วัดทับลาน
PrachinBuri,วัดจิกสูง
PrachinBuri,วัดโคกพนมดี
PrachinBuri,วัดทุ่งแฝก
PrachinBuri,วัดศรีวนาลัย
PrachinBuri,วัดใหม่โพธิ์เย็น
PrachinBuri,วัดบ้านพระ
PrachinBuri,วัดป่าญาณวิสุทธาวาส
PrachinBuri,วัดทุ่งสามัคคี
